archived_on,date_ym,n,n_id,n_id_distinct,dataset
24/04/2025,1978-11,10,10,10,msds_v2_diagnoses_and_history
24/04/2025,2019-05,51065,51065,19880,msds_v2_diagnoses_and_history
24/04/2025,1988-12,40,40,40,msds_v2_diagnoses_and_history
24/04/2025,1985-04,20,20,20,msds_v2_diagnoses_and_history
24/04/2025,1986-02,30,30,25,msds_v2_diagnoses_and_history
24/04/2025,1988-08,25,25,25,msds_v2_diagnoses_and_history
24/04/2025,2022-02,132370,132365,37875,msds_v2_diagnoses_and_history
24/04/2025,2010-05,760,760,410,msds_v2_diagnoses_and_history
24/04/2025,2000-02,145,145,135,msds_v2_diagnoses_and_history
24/04/2025,2004-11,50,50,40,msds_v2_diagnoses_and_history
24/04/2025,1978-02,10,10,10,msds_v2_diagnoses_and_history
24/04/2025,2023-03,201830,201830,54550,msds_v2_diagnoses_and_history
24/04/2025,1999-12,45,45,40,msds_v2_diagnoses_and_history
24/04/2025,2005-10,45,45,35,msds_v2_diagnoses_and_history
24/04/2025,1987-06,45,45,40,msds_v2_diagnoses_and_history
24/04/2025,1979-11,10,10,10,msds_v2_diagnoses_and_history
24/04/2025,2002-10,55,55,45,msds_v2_diagnoses_and_history
24/04/2025,1980-07,10,10,10,msds_v2_diagnoses_and_history
24/04/2025,2000-11,50,50,45,msds_v2_diagnoses_and_history
24/04/2025,1985-11,20,20,20,msds_v2_diagnoses_and_history
24/04/2025,1999-04,60,60,55,msds_v2_diagnoses_and_history
24/04/2025,1992-02,95,95,85,msds_v2_diagnoses_and_history
24/04/2025,1987-09,40,40,35,msds_v2_diagnoses_and_history
24/04/2025,1990-10,45,45,40,msds_v2_diagnoses_and_history
24/04/2025,2020-03,73390,73390,20960,msds_v2_diagnoses_and_history
24/04/2025,1987-01,3620,3620,3275,msds_v2_diagnoses_and_history
24/04/2025,2001-01,10750,10750,9775,msds_v2_diagnoses_and_history
24/04/2025,2018-05,13670,13670,3680,msds_v2_diagnoses_and_history
24/04/2025,2018-07,17555,17555,5080,msds_v2_diagnoses_and_history
24/04/2025,2011-01,10930,10930,9170,msds_v2_diagnoses_and_history
24/04/2025,2011-05,870,870,430,msds_v2_diagnoses_and_history
24/04/2025,1990-02,95,95,95,msds_v2_diagnoses_and_history
24/04/2025,2024-10,139850,139850,55010,msds_v2_diagnoses_and_history
24/04/2025,1993-07,55,55,55,msds_v2_diagnoses_and_history
24/04/2025,2019-08,65390,65390,19455,msds_v2_diagnoses_and_history
24/04/2025,2016-04,6785,6785,1745,msds_v2_diagnoses_and_history
24/04/2025,1982-08,10,10,10,msds_v2_diagnoses_and_history
24/04/2025,1992-04,65,65,65,msds_v2_diagnoses_and_history
24/04/2025,2011-06,905,905,450,msds_v2_diagnoses_and_history
